 Config File,    subjects,    duration,        mean,  meanOfHits,      median,      stddev,        top1,        top5,       top10,        topL,      recall,   precision,precisionAtL
          82,       40663,     28.3125,      3.9828,      2.7723,      1.0000,     27.1659,     78.9440,     92.8780,     96.0013,     87.2956,     99.2958,         NaN,     67.7330
          83,       40663,     29.4783,      3.6685,      2.9841,      1.0000,     22.6591,     78.7719,     92.6690,     95.8414,     87.0964,     99.4048,         NaN,     67.5821
          84,       40663,     28.2388,      6.2282,      2.9646,      1.0000,     42.0194,     78.7251,     92.5559,     95.6103,     86.9464,     98.8985,         NaN,     67.5168
          85,       40663,     28.4164,      4.1039,      3.2365,      1.0000,     25.0326,     78.5702,     92.5633,     95.6767,     86.8554,     99.3447,         NaN,     67.3786
          86,       40663,     32.4480,      5.8275,      2.9795,      1.0000,     39.5215,     78.7178,     92.5805,     95.6594,     86.9857,     98.9559,         NaN,     67.5369
          87,       40663,     28.3301,      3.8535,      2.8632,      1.0000,     25.4672,     78.8309,     93.0969,     96.2177,     87.2611,     99.2832,         NaN,     67.6593
          88,       40663,     37.1019,      5.5682,      2.9892,      1.0000,     37.8373,     78.7571,     92.6272,     95.6914,     86.9980,     98.9999,         NaN,     67.5387
          89,       40663,     31.8640,      3.9615,      2.8245,      1.0000,     26.7724,     78.9932,     93.1387,     96.2890,     87.4284,     99.2407,         NaN,     67.7943
          90,       40663,     42.5401,      5.3928,      2.9972,      1.0000,     36.6295,     78.7522,     92.6444,     95.7332,     87.0275,     99.0285,         NaN,     67.5545
          91,       40663,     32.0920,      3.9950,      2.7967,      1.0000,     27.2224,     79.0006,     93.1682,     96.3013,     87.4382,     99.2160,         NaN,     67.8045
          92,       40663,     48.8076,      5.3433,      2.9966,      1.0000,     36.2977,     78.7620,     92.6592,     95.7431,     87.0349,     99.0305,         NaN,     67.5495
          93,       40663,     32.0878,      3.9926,      2.7698,      1.0000,     27.3698,     79.0645,     93.2420,     96.3456,     87.4800,     99.2026,         NaN,     67.8576
          94,       40663,     55.4336,      5.1508,      2.9997,      1.0000,     34.9532,     78.7596,     92.6567,     95.7996,     87.0595,     99.0629,         NaN,     67.5503
